course,course_name,short_description,long_description
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3400 - Reading and Research,ANTHRO 3400 , Reading and Research,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3500 - Direction of Doctoral Dissertations,ANTHRO 3500 , Direction of Doctoral Dissertations,
ANTHRO 3555 - Critical Media Practice,ANTHRO 3555 , Critical Media Practice,"Description:  This course is for graduate students pursuing the PhD Secondary Field in Critical Media Practice, as well as for other students creating artistic or interpretive media projects that are complementary to their scholarship. Open to any media or subject matter, the course is centered around exhaustive, constructive critique, supplemented by workshops, screenings and visiting artists."
ANTHRO 3626 - Research Design/Proposal Writing,ANTHRO 3626 , Research Design/Proposal Writing,"Description:  This course is a practicum designed to help students craft effective research and grant proposals, learn how to constructively critique others? proposals, and develop enduring collaborative relationships. Many writing problems are fundamentally thinking and design problems. For this reason, conceptual structure, project design, and methodological choices will occupy a great deal of our time. The first half of the semester will focus on Wenner-Gren-type proposals, the second half on proposals for the National Science Foundation and similar funders."
ANTHRO 91XR - Supervised Reading and Research in Archaeology,ANTHRO 91XR , Supervised Reading and Research in Archaeology,"Description:  Special study of selected topics in archaeology, given on an individual basis and directly supervised by a member of the department. May be taken for a letter grade or pass/fail. To enroll, a student must submit a petition form (available from the Head Tutor for Archaeology or downloadable from the department's Anthropology[Archaeology] website), signed by the adviser with whom he or she wishes to study, and a proposed plan of study."
ANTHRO 91ZR - Supervised Reading and Research and Research in Social Anthropology,ANTHRO 91ZR , Supervised Reading and Research and Research in Social Anthropology,"Description:  Special study of selected topics in Anthropology, given on an individual basis and directly supervised by a member of the Department. May be taken for a letter grade or Pass/Fail. To enroll, a student must submit to the Anthropology Undergraduate Office, Tozzer 103B, a course form signed by the adviser under whom s/he wishes to study and a proposed plan of study. Anthro 91zr form available from the Undergrad Office, or the department website."
ANTHRO 98A - Junior Tutorial in Anthropology,ANTHRO 98A , Junior Tutorial in Anthropology,"Description:  This course is focused on preparing students to do anthropological fieldwork and develop their own research projects. Through concrete case studies and practical exercises students will be introduced to different approaches to developing research problems, conducting research, and ethnographic writing. Topics covered will include defining research questions and objects of study, situating projects within scholarly literature, and bringing together research data and analysis in different forms of anthropological writing.The aim of the course is not an exhaustive overview of research design but to familiarize students with some of the key practices and concerns of anthropological research and writing. The course seeks to guide students in reading anthropological texts, understanding the range of data and its representations, unpacking the analytical moves being made in the text, and thinking through the implications of such presentation.The course is divided into two main components. The first focuses on a case study of a developing anthropological work by the instructor. Through select readings related to their topic of interest and original research documents (proposals, fieldnotes, media, news reports, photographs, analytical essays, among others) students will learn the process of turning a research question into an anthropological project. The case study is also meant to prepare students for the experience of conducting their own research and serve as an example of how to transform research findings into anthropological writing.Simultaneously, this course is also a research practicum in which students will apply what they have learned to design their own anthropological projects and share with each other research goals, experiences, and components of their emerging work. Through structured assignments, seminar workshops, and regular individual meetings with their instructor students will produce an original research essay based on their research over the course of the semester."
ANTHRO 99A - Thesis Tutorial in Anthropology - Senior Year,ANTHRO 99A , Thesis Tutorial in Anthropology ,"Description:  This is a full year research and writing seminar limited to senior honors candidates. The course is intended to provide students with practical guidance and advice during the thesis writing process through structured assignments and peer feedback on work-in-progress. It is intended to supplement not replace faculty thesis advising (with the requirement of consulting regularly with the advisor built into the assignments) and, most importantly, allow students to share their work and experiences with other thesis writers in a collegial and supportive environment. The seminar will be run jointly by the Department of Anthropology Assistant Director of Undergraduate Studies and the Writing Tutor. Part one of a two part series."
APCOMP 209A - Data Science 1: Introduction to Data Science,APCOMP 209A , Data Science 1: Introduction to Data Science,"Description:  Data Science 1 is the first half of a one-year introduction to data science. The course will focus on the analysis of messy, real life data to perform predictions using statistical and machine learning methods. Material covered will integrate the five key facets of an investigation using data: (1) data collection - data wrangling, cleaning, and sampling to get a suitable data set; (2) data management - accessing data quickly and reliably; (3) exploratory data analysis ? generating hypotheses and building intuition; (4) prediction or statistical learning; and (5) communication ? summarizing results through visualization, stories, and interpretable summaries. Part one of a two part series. The curriculum for this course builds throughout the academic year. Students are strongly encouraged to enroll in both the fall and spring course within the same academic year. Part one of a two part series."
APCOMP 227 - Computational Methods in the Physical Sciences,APCOMP 227 , Computational Methods in the Physical Sciences,"Description:  In this Course, we shall familiarize with the main computational methods which permit to simulate and analyze the behavior of a wide range of problems involving fluids, solids, soft matter, electromagnetic and quantum systems, as well as the dynamics of (some) biological and social systems.The course consists of three main parts,Part I : Fields on GridsPart II : Mesoscale Particle MethodsPart III: Statistical Data Analysis and LearningIn Part I, we shall discuss the fundamentals of grid discretization and present concrete applications to a broad variety of problems from classical and quantum physics, such as Advection-Diffusion Reaction transport, Navier-Stokes fluid-dynamics, nonlinear classical and quantum wave propagation. Both regular and complex geometrical grids will be discussed through Finite Differences, Volumes and Elements, respectively.In Part II we shall discuss mesoscale technique based on the two basic mesoscale descriptions: probability distribution functions, as governed by Boltzmann and Fokker-Planck kinetic equations, and stochastic particle dynamics (Langevin equations). The lattice Boltzmann method will be discussed in great detail, with applications to fluids and soft matter problems. Mesoscale particle methods, such as Dissipative Particle Dynamics will also be illustrated in detail.Finally, in Part III, we shall present data analysis &amp; learning tools of particular relevance to complex systems with non-gaussian statistics, such as turbulence, fractional transport and extreme events in general. An introduction to Physics-Aware Machine Learning will also be presented."
APCOMP 298R - Interdisciplinary Seminar in Computational Science & Engineering,APCOMP 298R , Interdisciplinary Seminar in Computational Science & Engineering,"Description:  This course, centered on the Institute for Applied Computation Science (IACS) seminar series, will provide broad exposure to cutting-edge topics, applications, and unifying concepts in Computational Science &amp; Engineering. Students will read, present and discuss journal articles related to IACS talks, attend the seminars and meet with visiting speakers. Possible topics to be covered include scientific visualization, computational approaches to disease, mathematical neuroscience, computational archeology, and computational finance."
APCOMP 299R - Special Topics in Applied Computation,APCOMP 299R , Special Topics in Applied Computation,Description:  Supervision of experimental or theoretical research on acceptable applied computation problems and supervision of reading on topics not covered by regular courses of instruction.
APCOMP 302 - Special Topics in Computational Science and Engineering,APCOMP 302 , Special Topics in Computational Science and Engineering,
APMTH 101 - Statistical Inference for Scientists and Engineers,APMTH 101 , Statistical Inference for Scientists and Engineers,"Description:  Introductory statistical methods for students in the applied sciences and engineering. Random variables and probability distributions; the concept of random sampling, including random samples, statistics, and sampling distributions; the Central Limit Theorem and its role in statistical inference; parameter estimation, including point estimation and maximum likelihood methods; confidence intervals; hypothesis testing; simple linear regression; and multiple linear regression. Introduction to more advanced techniques as time permits."
"APMTH 104 - Complex Analysis and Series Expansions for Applications to Science, Engineering and Finance",APMTH 104 ," Complex Analysis and Series Expansions for Applications to Science, Engineering and Finance","Description:  Introduces fundamental concepts for solving real-world problems and emphasizes their applications through motivational examples drawn from science, engineering and finance. Topics: special distribution functions; series expansions of functions and their convergence; functions of complex variables, Taylor and Laurent expansions; wave (Fourier) and wavelet expansions and transforms, and their uses in solving differential equations and in signal analysis; connections to machine learning (neural networks), probabilities, random numbers and stochastic optimization methods."
APMTH 105 - Ordinary and Partial Differential Equations,APMTH 105 , Ordinary and Partial Differential Equations,"Description:  Ordinary differential equations: power series solutions; special functions; eigenfunction expansions. Review of vector calculus. Elementary partial differential equations: separation of variables and series solutions; diffusion, wave and Laplace equations. Brief introduction to nonlinear dynamical systems and to numerical methods."
APMTH 106 - Applied Algebra,APMTH 106 , Applied Algebra,"Description:  Introduction to abstract algebra and its applications. Sets, subsets, and partitions; mappings, operations, and equivalence relations; groups, rings, and fields, polynomials, encryption, computer coding, application of modular arithmetic, combinatorial designs, lattices, application of trellis representation of lattices, fast algorithms."
APMTH 115 - Mathematical Modeling,APMTH 115 , Mathematical Modeling,"Description:  Abstracting the essential components and mechanisms from a natural system to produce a mathematical model, which can be analyzed with a variety of formal mathematical methods, is perhaps the most important, but least understood, task in applied mathematics. This course approaches a number of problems without the prejudice of trying to apply a particular method of solution. Topics drawn from biology, economics, engineering, physical and social sciences."
APMTH 121 - Introduction to Optimization: Models and Methods,APMTH 121 , Introduction to Optimization: Models and Methods,"Description:  Introduction to basic mathematical ideas and computational methods for solving deterministic and stochastic optimization problems. Topics covered: linear programming, integer programming, branch-and-bound, branch-and-cut, Markov chains, Markov decision processes. Emphasis on modeling. Examples from business, society, engineering, sports, e-commerce. Exercises in AMPL, complemented by Maple or Matlab."
APMTH 201 - Physical Mathematics I,APMTH 201 , Physical Mathematics I,"Description:  Introduction to methods for developing accurate approximate solutions for problems in the sciences that cannot be solved exactly, and integration with numerical methods and solutions. Topics include: dimensional analysis, algebraic equations, complex analysis, perturbation theory, matched asymptotic expansions, approximate solution of integrals."
APMTH 205 - Advanced Scientific Computing: Numerical Methods,APMTH 205 , Advanced Scientific Computing: Numerical Methods,"Description:  An examination of the mathematical foundations of a range of well-established numerical algorithms, exploring their use through practical examples drawn from a range of scientific and engineering disciplines. Emphasizes theory and numerical analysis to elucidate the concepts that underpin each algorithm. There will be a significant programming component. Students will be expected to implement a range of numerical methods through individual and group-based project work to get hands-on experience with modern scientific computing."
"APMTH 207 - Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization",APMTH 207 ," Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization","Description:  Develops skills for computational research with focus on stochastic approaches, emphasizing implementation and examples. Stochastic methods make it feasible to tackle very diverse problems when the solution space is too large to explore systematically, or when microscopic rules are known, but not the macroscopic behavior of a complex system. Methods will be illustrated with examples from a wide variety of fields, like biology, finance, and physics."
APMTH 21A - Mathematical Methods in the Sciences,APMTH 21A , Mathematical Methods in the Sciences,"Description:  Multivariate calculus: functions of two or three variables, approximating functions, partial differentiation, directional derivatives, multiple integration. Vectors: dot and cross products, parameterized curves, line and surface integrals. Vector calculus: gradient, divergence and curl, Green's, divergence and Stokes' theorems. Complex numbers."
APMTH 227 - Computational Methods in the Physical Sciences,APMTH 227 , Computational Methods in the Physical Sciences,"Description:  In this Course, we shall familiarize with the main computational methods which permit to simulate and analyze the behavior of a wide range of problems involving fluids, solids, soft matter, electromagnetic and quantum systems, as well as the dynamics of (some) biological and social systems.The course consists of three main parts,Part I : Fields on GridsPart II : Mesoscale Particle MethodsPart III: Statistical Data Analysis and LearningIn Part I, we shall discuss the fundamentals of grid discretization and present concrete applications to a broad variety of problems from classical and quantum physics, such as Advection-Diffusion Reaction transport, Navier-Stokes fluid-dynamics, nonlinear classical and quantum wave propagation. Both regular and complex geometrical grids will be discussed through Finite Differences, Volumes and Elements, respectively.In Part II we shall discuss mesoscale technique based on the two basic mesoscale descriptions: probability distribution functions, as governed by Boltzmann and Fokker-Planck kinetic equations, and stochastic particle dynamics (Langevin equations). The lattice Boltzmann method will be discussed in great detail, with applications to fluids and soft matter problems. Mesoscale particle methods, such as Dissipative Particle Dynamics will also be illustrated in detail.Finally, in Part III, we shall present data analysis &amp; learning tools of particular relevance to complex systems with non-gaussian statistics, such as turbulence, fractional transport and extreme events in general. An introduction to Physics-Aware Machine Learning will also be presented."
APMTH 254 - Information Processing and Statistical Physics,APMTH 254 , Information Processing and Statistical Physics,"Description:  This course introduces students to several fundamental notions and methods in statistical physics that have been successfully applied to the analysis of information processing systems. Discussions will be focused on studying such systems in the infinite-size limit, on analyzing the emergence of phase transitions, and on understanding the behaviors of efficient algorithms. This course seeks to start from basics, assuming just undergraduate probability and analysis, and in particular assuming no knowledge of statistical physics. Students will take an active role by applying what they learn from the course to their preferred applications."
APMTH 299R - Special Topics in Applied Mathematics,APMTH 299R , Special Topics in Applied Mathematics,Description:  Supervision of experimental or theoretical research on acceptable applied mathematics problems and supervision of reading on topics not covered by regular courses of instruction.
"APMTH 316 - Stochastic Processes, Dynamical Systems, Applied Differential Geometry",APMTH 316 ," Stochastic Processes, Dynamical Systems, Applied Differential Geometry",
APMTH 318 - Special Topics in Physical Mathematics,APMTH 318 , Special Topics in Physical Mathematics,
APMTH 320 - Topics in Macroscopic Physics and Quantitative Biology,APMTH 320 , Topics in Macroscopic Physics and Quantitative Biology,
APMTH 322 - Biological Applications of Mathematics and Automatic Computers,APMTH 322 , Biological Applications of Mathematics and Automatic Computers,
APMTH 324 - Scientific Computation and Mathematical Modeling,APMTH 324 , Scientific Computation and Mathematical Modeling,
APMTH 332 - Theoretical Mechanics in the Earth and Engineering Sciences,APMTH 332 , Theoretical Mechanics in the Earth and Engineering Sciences,
APMTH 91R - Supervised Reading and Research,APMTH 91R , Supervised Reading and Research,Description:  An individual project of guided reading and research culminating in a substantial paper or other piece of work which can be meaningfully evaluated to assign a letter grade; may not be taken on a PA/FL basis. Students engaged in preparation of a senior thesis ordinarily should take Applied Mathematics 99r instead.
APMTH 99R - Thesis Research,APMTH 99R , Thesis Research,Description:  Provides an opportunity for students to engage in preparatory research and the writing of a senior thesis. Graded on a SAT/UNS basis as recommended by the thesis supervisor. The thesis is evaluated by the supervisor and by two additional readers.
APPHY 195 - Introduction to Solid State Physics,APPHY 195 , Introduction to Solid State Physics,"Description:  The physics of crystalline solids and their electric, magnetic, optical, and thermal properties. Designed as a first course in solid-state physics. Topics: free electron model; Drude model; the physics of crystal binding; crystal structure and vibration (phonons); electrons in solids (Bloch theorem) and electronic band structures; metals and insulators; semiconductors (and their applications in pn junctions and transistors); plasmonic excitations and screening; optical transitions; solid-state lasers; magnetism, spin waves, magnetic resonance, and spin-based devices; dielectrics and ferroelectrics; superconductivity, Josephson junctions, and superconducting circuits; electronic transport in low-dimensional systems, quantum Hall effect, and resonant tunneling devices."
APPHY 217 - Foundations of Modern Optics,APPHY 217 , Foundations of Modern Optics,"Description:  Optical systems and lasers have recently revolutionized both technology and basic research. We cover the fundamental physics of light and of light-matter interactions, including optical wave-propagation, ray optics, optical imaging and Fourier optics, quantization of electromagnetic fields, and nano-optics."
APPHY 225 - Introduction to Soft Matter,APPHY 225 , Introduction to Soft Matter,"Description:  Introduction to the physics of soft matter, also called complex fluids or squishy physics, includes the study of capillarity, thin films, polymers, polymer solutions, surfactants, and colloids,. Emphasis is on physical principles which scale bulk behavior. Students will understand the concepts, experimental techniques, and, especially, the open questions. Lecture notes are supplied in place of a textbook."
APPHY 282 - Solids: Structure and Defects,APPHY 282 , Solids: Structure and Defects,"Description:  Bonding, crystallography, diffraction, phase diagrams, microstructure, point defects, dislocations, and grain boundaries."
APPHY 284 - Statistical Mechanics,APPHY 284 , Statistical Mechanics,"Description:  Basic principles of statistical mechanics with applications, including the equilibrium properties of classical and quantum gases; phase diagrams, phase transitions and critical points, as illustrated by the gas-liquid transition and simple magnetic models; Bose-Einstein condensation."
APPHY 295A - Introduction to Quantum Theory of Solids,APPHY 295A , Introduction to Quantum Theory of Solids,"Description:  Electrical, optical, thermal, magnetic, and mechanical properties of solids will be treated based on an atomic scale picture and using the independent electron approximation. Metals, semiconductors, and insulators will be covered, with possible special topics such as superconductivity."
APPHY 298R - Frontier Topics in Molecular Biology,APPHY 298R , Frontier Topics in Molecular Biology,"Description:  Students are active participants and presenters in the class, and we will pick topics in molecular biology and single bio-molecule detection and imaging, fields that have seen an explosive development in recent years. Topics can include protein structure and expression, the central dogma of molecular biology, DNA-polymerase and ribosomes, gene engineering, PCR, transformation of cells, CRISPR, super-resolution imaging with fused fluorescent proteins, and nano-pores/ion-channels. The class is primarily aimed at first year graduate students and will be intense and highly interactive so the student number will be limited. If you are interested in this class, please E-mail a brief description of your interests, program of study, year, and research group if applicable to hau@g.harvard.edu (use subject line: AP298r)."
APPHY 299R - Special Topics in Applied Physics,APPHY 299R , Special Topics in Applied Physics,Description:  Supervision of experimental or theoretical research on acceptable applied physics problems and supervision of reading on topics not covered by regular courses of instruction.
APPHY 302 - Applied Condensed Matter Physics,APPHY 302 , Applied Condensed Matter Physics,
APPHY 304 - Materials Science of Biological Inorganic Nanostructures,APPHY 304 , Materials Science of Biological Inorganic Nanostructures,
APPHY 322 - Materials Physics and Engineering,APPHY 322 , Materials Physics and Engineering,
"APPHY 326 - Optics with Cold Atoms, Nano-structures, and Bio-molecules",APPHY 326 ," Optics with Cold Atoms, Nano",
APPHY 330 - Heterogeneous Nanophotonic Devices and Bio-templated Electronic Materials,APPHY 330 , Heterogeneous Nanophotonic Devices and Bio,
APPHY 332 - Experimental Condensed Matter Physics,APPHY 332 , Experimental Condensed Matter Physics,
"APPHY 334 - Electronic Properties of Nanostructures, Interaction of Biomolecules with Nanostructures, and X-Ray",APPHY 334 ," Electronic Properties of Nanostructures, Interaction of Biomolecules with Nanostructures, and X",
APPHY 336 - Theoretical Study of the Structure and Electronic Properties of Nanoscale Materials and Biological M,APPHY 336 , Theoretical Study of the Structure and Electronic Properties of Nanoscale Materials and Biological M,
APPHY 338 - Growth and Properties of Nanostructures and Nanostructure Assemblies; Development and Application of,APPHY 338 , Growth and Properties of Nanostructures and Nanostructure Assemblies; Development and Application of,
APPHY 340 - Topics in Electromagnetic Theory,APPHY 340 , Topics in Electromagnetic Theory,
APPHY 342 - Nano-Lasers and Single-Photon Sources,APPHY 342 , Nano,
APPHY 346 - Interdisciplinary Dissertation Research,APPHY 346 , Interdisciplinary Dissertation Research,
APPHY 348 - Mechanics in Earth and Environmental Science,APPHY 348 , Mechanics in Earth and Environmental Science,
APPHY 350 - Experimental Physics in Low Dimensional Materials,APPHY 350 , Experimental Physics in Low Dimensional Materials,
APPHY 354 - Physics of Bacterial Growth,APPHY 354 , Physics of Bacterial Growth,
APPHY 356 - Special Topics in Theoretical Engineering,APPHY 356 , Special Topics in Theoretical Engineering,
APPHY 360 - Nonlinear Laser Physics and Materials Engineering,APPHY 360 , Nonlinear Laser Physics and Materials Engineering,
"APPHY 362 - Photonics, Quantum Devices and Nanostructures",APPHY 362 ," Photonics, Quantum Devices and Nanostructures",
APPHY 364 - Experimental Soft Condensed Matter Physics,APPHY 364 , Experimental Soft Condensed Matter Physics,
"APPHY 366 - Experimental Condensed Matter: Ballistic Transport in Semiconductors, Nanostructures, and Tunneling",APPHY 366 ," Experimental Condensed Matter: Ballistic Transport in Semiconductors, Nanostructures, and Tunneling",
APPHY 368 - Topics on Condensed Matter Physics,APPHY 368 , Topics on Condensed Matter Physics,
APPHY 370 - Experimental Condensed Matter: Synchrotron X-Ray Scattering Studies of Interfacial Phenomena (Liquid,APPHY 370 , Experimental Condensed Matter: Synchrotron X,
APPHY 372 - Biological Physics and Quantitative Biology,APPHY 372 , Biological Physics and Quantitative Biology,
APPHY 374 - Signaling Processing and Systems Biology,APPHY 374 , Signaling Processing and Systems Biology,
APPHY 376 - Nonlinear Dynamics of Soft Interfaces,APPHY 376 , Nonlinear Dynamics of Soft Interfaces,
APPHY 384 - Topics in Atmospheric and Climate Dynamics,APPHY 384 , Topics in Atmospheric and Climate Dynamics,
APPHY 388 - Climate Dynamics and Physical Oceanography,APPHY 388 , Climate Dynamics and Physical Oceanography,
APPHY 392 - Experimental Soft Condensed Matter and Materials Physics,APPHY 392 , Experimental Soft Condensed Matter and Materials Physics,
APPHY 394 - Experimental Studies of Interfaces and Surfaces,APPHY 394 , Experimental Studies of Interfaces and Surfaces,
APPHY 396 - Topics in Materials Science,APPHY 396 , Topics in Materials Science,
APPHY 398 - Materials Science,APPHY 398 , Materials Science,
"APPHY 50A - Physics as a Foundation for Science and Engineering, Part I",APPHY 50A ," Physics as a Foundation for Science and Engineering, Part I","Description:  AP 50a is the first half of a one-year, team-based and project-based introduction to physics. This course teaches students to develop scientific reasoning and problem-solving skills. AP50a topics include: kinematics; linear and rotational motion; conservation of momentum and energy; forces; gravity; oscillations and waves. Multivariable and vector calculus is introduced and used extensively in the course. Students work in teams on three, month-long projects, each culminating in a project fair."
ARABIC 130A - Upper-Level Classical Arabic I,ARABIC 130A , Upper,"Description:  Introduction to Classical Arabic grammar and styles, with readings from classical Islamic texts, with emphasis on Qur'an, hadith, sira, and tafsir literature."
ARABIC 131A - Upper-Level Modern Arabic l,ARABIC 131A , Upper,"Description:  Reading and discussion of selections from Arabic newspapers and journals on contemporary political, social, religious, and cultural issues in the Arab world. Emphasis on developing advanced reading and speaking skills, with some attention to writing and listening comprehension. Required textbook: al-Kitaab -Kitaab fii Ta'allum al-Arabiyya, Part III with DVDs."
ARABIC 131A - Upper-Level Modern Arabic l,ARABIC 131A , Upper,"Description:  Reading and discussion of selections from Arabic newspapers and journals on contemporary political, social, religious, and cultural issues in the Arab world. Emphasis on developing advanced reading and speaking skills, with some attention to writing and listening comprehension. Required textbook: al-Kitaab -Kitaab fii Ta'allum al-Arabiyya, Part III with DVDs."
"ARABIC 241AR - Advanced Modern Arabic Bridge: Language, Literature, and Culture I",ARABIC 241AR ," Advanced Modern Arabic Bridge: Language, Literature, and Culture I",Description:  This constitutes the final year of Modern Arabic track. Representative readings from contemporary literature and culture will form bases of discussions on major themes in contemporary Arab society.
ARABIC 242AR - Urban Landscapes in Modern Arabic Literature and Film,ARABIC 242AR , Urban Landscapes in Modern Arabic Literature and Film,Description:  Urban Landscapes in Modern Arabic Literature and Film
ARABIC 243BR - Introduction to the Rational Sciences,ARABIC 243BR , Introduction to the Rational Sciences,"Description:  Reinforcement of advanced classical Arabic grammar and stylistics, and introduction to the genres of usul, kalam, mantiq and falsafa."
ARABIC 245R - Classical Arabic Literature Seminar: Medieval Arabic Writings on Literary Theory,ARABIC 245R , Classical Arabic Literature Seminar: Medieval Arabic Writings on Literary Theory,"Description:  A survey of medieval Arabic writings on literary theory, from the early proponents of the Qa??da form and ?am?d al-shi?r to selected writings on mu?dath poetry. Works on both poetry and prose will be considered. Authors included: Ibn al-Mu?tazz, Ibn Qutayba, al-Marz?q?, al-Jurj?n?, ??zim al-Qar?ajann?, etc. Topics include: Qa??da form, Eloquence (fa???a and bal?ghah), poetics (bad??, maj?z, etc.) Qur??n and inimitability."
ARABIC 300 - Reading and Research in Arabic Language and Civilization,ARABIC 300 , Reading and Research in Arabic Language and Civilization,
ARABIC 300 - Reading and Research in Arabic Language and Civilization,ARABIC 300 , Reading and Research in Arabic Language and Civilization,
ARABIC 300 - Reading and Research in Arabic Language and Civilization,ARABIC 300 , Reading and Research in Arabic Language and Civilization,
ARABIC 300 - Reading and Research in Arabic Language and Civilization,ARABIC 300 , Reading and Research in Arabic Language and Civilization,
ARABIC 300 - Reading and Research in Arabic Language and Civilization,ARABIC 300 , Reading and Research in Arabic Language and Civilization,
ARABIC 320 - Reading and Research in Modern Arabic Literature and Literary Criticism,ARABIC 320 , Reading and Research in Modern Arabic Literature and Literary Criticism,
ARABIC AA - Elementary Arabic,ARABIC AA , Elementary Arabic,"Description:  Introduces students to the phonology and script of classical/modern standard Arabic and covers the basic morphology and syntax of the written language. Emphasis on the development of the four skills (reading, speaking, listening, and writing). Samples of modern (contemporary) and classical styles of writing introduced into basic syllabus, and audio-visual material from the contemporary Arabic media. Required textbooks: (1) Alif Baa (with multimedia), 2nd edition. (2) Al-Kitaab fii Ta'allum al-'Arabiyya:, Part I, 2nd edition. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
ARABIC AA - Elementary Arabic,ARABIC AA , Elementary Arabic,"Description:  Introduces students to the phonology and script of classical/modern standard Arabic and covers the basic morphology and syntax of the written language. Emphasis on the development of the four skills (reading, speaking, listening, and writing). Samples of modern (contemporary) and classical styles of writing introduced into basic syllabus, and audio-visual material from the contemporary Arabic media. Required textbooks: (1) Alif Baa (with multimedia), 2nd edition. (2) Al-Kitaab fii Ta'allum al-'Arabiyya:, Part I, 2nd edition. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
ARABIC AA - Elementary Arabic,ARABIC AA , Elementary Arabic,"Description:  Introduces students to the phonology and script of classical/modern standard Arabic and covers the basic morphology and syntax of the written language. Emphasis on the development of the four skills (reading, speaking, listening, and writing). Samples of modern (contemporary) and classical styles of writing introduced into basic syllabus, and audio-visual material from the contemporary Arabic media. Required textbooks: (1) Alif Baa (with multimedia), 2nd edition. (2) Al-Kitaab fii Ta'allum al-'Arabiyya:, Part I, 2nd edition. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
ARABIC AA - Elementary Arabic,ARABIC AA , Elementary Arabic,"Description:  Introduces students to the phonology and script of classical/modern standard Arabic and covers the basic morphology and syntax of the written language. Emphasis on the development of the four skills (reading, speaking, listening, and writing). Samples of modern (contemporary) and classical styles of writing introduced into basic syllabus, and audio-visual material from the contemporary Arabic media. Required textbooks: (1) Alif Baa (with multimedia), 2nd edition. (2) Al-Kitaab fii Ta'allum al-'Arabiyya:, Part I, 2nd edition. Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit."
